"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1907582112888488081","Wed Apr 02 23:53:11 +0000 2025","1","Komentar gua di film jumbo https://t.co/VqhU0BDj1W","1907582112888488081","https://pbs.twimg.com/media/GnkX0UAb0AALvOu.jpg","","in","","0","1","0","https://x.com/afifsena26/status/1907582112888488081","2940110551","afifsena26"
"1907582061827010739","Wed Apr 02 23:52:59 +0000 2025","0","Jumbo tu keren banget deh sumpah Film animation indonesia yang dibuat 5 Tahun hasilnya Gatau sih blm nonton wkkwkw tp banyak yg SO dan bahkan tambah layar bukan kurangin layar","1907582061827010739","","","in","","0","0","0","https://x.com/ArifLaksonoU/status/1907582061827010739","1378908434","ArifLaksonoU"
"1907581955396538527","Wed Apr 02 23:52:33 +0000 2025","11","Menurut kalian bagusan film Jumbo Pabrik Gula atau datang ke SKYNANI BOOK FAIR FANSIGN? Minta sarannya dong bingung nih.","1907581955396538527","","","in","Kota Semarang, Jawa Tengah","0","10","1","https://x.com/djadimulya/status/1907581955396538527","1541801117566521345","djadimulya"
"1907099171347148830","Wed Apr 02 23:51:28 +0000 2025","4","@anyujeens @tanyakanrl Jumbo aja kak. Film horror tiap bulan bakal ada trs film animasi karya anak indo kapan lagi?? Intinya limited edition lah klo mau nonton jumbo mah","1907581680036257928","","anyujeens","in","02, Problematic, zionist DNI🚫","0","0","0","https://x.com/NyanNyaw/status/1907581680036257928","1469974986735570947","NyanNyaw"
"1907580865166893447","Wed Apr 02 23:48:14 +0000 2025","0","Jumbo ni film mahal bro film mahal","1907580865166893447","","","in","","0","0","0","https://x.com/haniyoonie/status/1907580865166893447","2840263267","haniyoonie"
"1906957251685781751","Wed Apr 02 23:38:55 +0000 2025","0","@sbyfess Film sampah gaono bedane ambi kkn Better jumbo atau qodrat 2 lur","1907578522757116151","","sbyfess","in","","0","0","0","https://x.com/_cuma_iseng/status/1907578522757116151","1611552756321652736","_cuma_iseng"
"1907578324953817339","Wed Apr 02 23:38:08 +0000 2025","0","salah satu scene terbaik di film Jumbo","1907578324953817339","","","in","Utopia","0","0","0","https://x.com/timelinesurfrs/status/1907578324953817339","1281245713557405697","timelinesurfrs"
"1907577207545016323","Wed Apr 02 23:33:42 +0000 2025","0","Sebel banget film Jumbo nggak ada di XXI woy kalo mau ngajak ponakan nonton jauh banget mall nya hhhh @cinema21","1907577207545016323","","","in","🇮🇩","0","1","0","https://x.com/chocolatyaa/status/1907577207545016323","1446058219986571266","chocolatyaa"
"1907576988635898040","Wed Apr 02 23:32:49 +0000 2025","3","Kemaren abis nonton Jumbo sama anak-anak worth to watch. Anak-anak seneng banget sampai pengen nonton lagi. Please PH mulai serius garap film animasi anak berkualitas keluarga muda dgn anak usia TK-SD butuh lebih banyak family time.","1907576988635898040","","","in","Jakarta Selatan, DKI Jakarta","1","0","1","https://x.com/ph4n_/status/1907576988635898040","136499246","ph4n_"
"1907574717353177276","Wed Apr 02 23:23:48 +0000 2025","0","Gue sebenarnya penggemar berat Spiderman..... Tapi berhubung gue udah boikot Marvel jadi gue mending nonton film Jumbo. ","1907574717353177276","","","in","Jakarta","0","0","0","https://x.com/acknowledgome/status/1907574717353177276","1239357559904985088","acknowledgome"
